"","ASV_ID","ASVnames"
"1","f079e0349a0178d5c298fe31ff1e985c","ASV00001"
"2","11ad37dc9347a8c70254f16253c80768","ASV00002"
"3","904c6d4fc0e65849a06ce97a861ff304","ASV00003"
"4","a5b69b21887457cff6b32fea70038308","ASV00004"
"5","0557fb52ccbdd0a3f051de8037ec673b","ASV00005"
"6","ff2b251bc34d09a3b9f82cc047b294cc","ASV00006"
"7","8a678a49ae8657350ace54f5db765e7e","ASV00007"
"8","31f0436fb03504aacaa72b7bf38a9096","ASV00008"
"9","8342b0f93b2fae884ea5f60571c7573a","ASV00009"
"10","9037ecbb167ea2ecee8034ee86e9e3cd","ASV00010"
"11","bf0e57fcd0969dc81e3ba8c95e2a4175","ASV00011"
"12","b89670bbe0b9f3c2710919b424050658","ASV00012"
"13","b0bb161ecfa5a94285e1146c2c7e7cfb","ASV00013"
"14","b0ad5f97c33b2fffa73d931be579caca","ASV00014"
"15","3d573ff4e78273a210995ba6787cac78","ASV00015"
"16","802dbf8a35ed41e9f77bc983397363c1","ASV00016"
"17","d1baa59f05635e926b949b62b15f27c4","ASV00017"
"18","38e4004abddc31cf9457c63e808d3421","ASV00018"
"19","b875692ac427f443c6851256ce8bf120","ASV00019"
"20","252db6f38d0e21070a80d648192caccb","ASV00020"
"21","c7f3de4e813e048136f704d29a759615","ASV00021"
"22","770c336ff6d9172ae194f3dfafc90ec2","ASV00022"
"23","7cc25f5b2cd1dcbe013ac3e9f465c07e","ASV00023"
"24","124c2423fa913c910289ac62201b324a","ASV00024"
"25","a3bbd161ae0fea06c83185c7a0a4cd80","ASV00025"
"26","d4c058823412bf694b3e5cc789c70dee","ASV00026"
"27","bc617d0118fa0e53084a716ec6c1504a","ASV00027"
"28","bcc2191f7bf8f7db9f68755e524019f8","ASV00028"
"29","acd6ce9172f4643dc70486d074bf5a00","ASV00029"
"30","c48e3aac6e66bb4b11c7c4802373e2cf","ASV00030"
"31","39faa0a30e209686e72d768a3222ff4d","ASV00031"
"32","b187bad28b8b39e856015c9bad957f61","ASV00032"
"33","fea26bf534456f6a6e15827ade9f4c40","ASV00033"
"34","b1429515e991cb7ff1f7ea38fc8b58a5","ASV00034"
"35","59eba82b17f2030b65e3de2089276618","ASV00035"
"36","0eb0a88ef581eee271e8936b64225de1","ASV00036"
"37","4fcdcce82ca616635ec56470fcd04148","ASV00037"
