"","id","ASV","comparison","beta","se","qval","sample","tax"
"1","1","21b7fb1bcbc7f44279baf257d9f9feb2","groupoff or low",-0.206948324618978,0.165683148043369,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"2","1","4a024ec4e58a1ebae58716efd917b887","groupoff or low",-0.438744697754243,0.201387910241256,0,"bottom","NA_NA_NA_NA_NA"
"3","1","b42b535fde1b76078a672f0d4e78f5b2","groupoff or low",0.302134404643312,0.227028591648527,1,"bottom","NA_NA_NA_NA_NA"
"4","1","a40d9fdcbc1222129f4236d0e86a81ce","groupoff or low",1.0985006620538,0.332274821777461,1,"bottom","NA_NA_NA_NA_NA"
"5","1","0dba9f68a4f76c50a7c7f7c5018361c6","groupoff or low",0.437235627108472,0.364096492684667,1,"bottom","NA_NA_NA_NA_NA"
"6","1","02ff683f04c7fd66f5565ea3be62f433","groupoff or low",-0.473815613562882,0.205772215338193,0,"bottom","NA_NA_NA_NA_NA"
"7","1","9927809b3b2e91186a8202b560868297","groupoff or low",1.1399710451557,0.341802090808793,0,"bottom","Proteobacteria_Alphaproteobacteria_NA_NA_NA"
"8","1","3f16a960ab00ef6c67f4866110f6df4e","groupoff or low",0.514970251517933,0.322556518714703,1,"bottom","Proteobacteria_NA_NA_NA_NA"
"9","1","306cb7d0d90d2029553417fa4b3b4ac7","groupoff or low",-0.160933754604735,0.179614195581367,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"10","1","b4d09d238e2e29ad2fbfb4c70a5df74a","groupoff or low",0.0136354565953714,0.121899034368367,0,"bottom","NA_NA_NA_NA_NA"
"11","1","535bbfacbe1ca6426884017057716896","groupoff or low",0.28761416542527,0.19832316196343,0,"bottom","NA_NA_NA_NA_NA"
"12","1","d10456716c93b965218923037e030302","groupoff or low",0.943108117835633,0.35691253661666,1,"bottom","Proteobacteria_NA_NA_NA_NA"
"13","1","8f227b9e13eeed442f277c0e518a2efa","groupoff or low",-0.130632912710856,0.17212806332478,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"14","1","ee1306e893111aa6417067d3fce3bf66","groupoff or low",0.0647226754366541,0.20675599406684,0,"bottom","NA_NA_NA_NA_NA"
"15","1","543c44931a0193e9f1fdce4d8a6ca8ec","groupoff or low",-0.144267466291795,0.275862615613069,1,"bottom","NA_NA_NA_NA_NA"
"16","1","530d38e044e940b772f597ef2f5f2c70","groupoff or low",-0.485093413170918,0.192249878150187,0,"bottom","NA_NA_NA_NA_NA"
"17","1","3e9d5a6a665e70ecf213f710c69ee6f9","groupoff or low",0.07842998978002,0.255254317243713,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"18","1","0de33da2f5064249f7ad27399d82d290","groupoff or low",0.240979516430651,0.154382970809526,1,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"19","1","54f385057377402ef307d6f65c68ec67","groupoff or low",-0.136497500566945,0.158050001692728,0,"bottom","NA_NA_NA_NA_NA"
"20","1","f6fe871cfd8454f97623351bc623ce6a","groupoff or low",-0.239896995137166,0.19693184132381,0,"bottom","NA_NA_NA_NA_NA"
"21","1","141528e36462862c54ee79c00287d5de","groupoff or low",1.3687864435797,0.392770414012872,1,"bottom","OD1_NA_NA_NA_NA"
"22","1","898ff0c97285f93e235d1b83b40e8249","groupoff or low",0.969890326047801,0.339915057454592,0,"bottom","NA_NA_NA_NA_NA"
"23","1","800544c4f6fd3d4472383481ff2e619d","groupoff or low",-0.123008000401862,0.25490534571147,1,"bottom","NA_NA_NA_NA_NA"
"24","1","34b90235bd317a1a28f75c9449520718","groupoff or low",0.231410207208621,0.311798048368964,1,"bottom","Proteobacteria_NA_NA_NA_NA"
"25","1","23ac1187770d5803791e27850750ab10","groupoff or low",-0.126247448033568,0.182145482388891,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"26","1","e7bbae9c252019b137f6424171f3282e","groupoff or low",-0.0512394271259299,0.146440568879527,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_Pythium"
"27","1","d1ac2f2f6823993fbb866c578cb604fa","groupoff or low",-0.0477539038038734,0.209073058526129,0,"bottom","NA_NA_NA_NA_NA"
"28","1","48dcf0957126de814a63d51b0b587811","groupoff or low",0.402760427493803,0.357685115377078,1,"bottom","NA_NA_NA_NA_NA"
"29","1","325cf2e9f07b860e97b5c575af036be1","groupoff or low",0.0362073080299487,0.204714169954708,0,"bottom","NA_NA_NA_NA_NA"
"30","1","83e0a87ec0a25eb8614caffb53d8f59a","groupoff or low",-0.138053865560501,0.219187020925081,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"31","1","97359f8cb3396d7b1ac62e74bf2c8dad","groupoff or low",0.828924710743246,0.230479532935386,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"32","1","3a4af695f9a53b05ef38b226fe28aab5","groupoff or low",-0.284633229684913,0.263212059891608,0,"bottom","NA_NA_NA_NA_NA"
"33","1","9c52e69701a3168c56d96b2cf064c95e","groupoff or low",-0.401447897870147,0.196997930447304,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"34","1","85714e0f40fa7be0126c0b71cbc79f62","groupoff or low",-0.5898924001589,0.214018459263825,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"35","1","c1e4df0c1f024ca565d7c48050922d66","groupoff or low",-0.0146715845260274,0.203388311568556,0,"bottom","NA_NA_NA_NA_NA"
"36","1","89780ff36ffde5e0d34d4f47944d0e49","groupoff or low",0.393531353391467,0.297315286204777,1,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_Acanthamoeba"
"37","1","352f82644a087048ad65699c176c0cb4","groupoff or low",-0.167296407961887,0.183024797357221,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"38","1","d09c5516585e744464deb58a0a772b55","groupoff or low",0.151081531958558,0.22633991307818,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"39","1","3fdae6d3569040a4bdba924542dbaa6c","groupoff or low",-0.340064874269932,0.247232222205998,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"40","1","5ec9b7c152222df649df3b57ba0b697a","groupoff or low",0.691691080609484,0.203971621860527,0,"bottom","Proteobacteria_NA_NA_NA_NA"
"41","1","cac294cc9ea3e5b297278b4305762fd4","groupoff or low",0.975504208320295,0.306499938049585,0,"bottom","NA_NA_NA_NA_NA"
"42","1","34905ed55f30e857e648fd8bf82da321","groupoff or low",-0.322923335303177,0.364123407755302,1,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"43","1","7718a64dac8a737ac62163de054da17e","groupoff or low",-0.298454383046569,0.287072819385647,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"44","1","7b6255e11ee284522a09697d4e31c9b7","groupoff or low",1.4303045732327,0.427542486906477,1,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"45","1","4a40a15c08da348bcf4cca0e3da1ffe7","groupoff or low",-0.798248419877882,0.276834579597144,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_Ochromonas"
"46","1","9d45b108d7be7b549e7d3fe393c781f8","groupoff or low",0.69714014624513,0.305837569327541,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_Ochromonas"
"47","1","756585665402c30a89e6c9997b1bd5a2","groupoff or low",0.611239096261119,0.257544022026962,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"48","1","cc17492c03d3e0f03ed3deb6420d4312","groupoff or low",-0.0621309081403605,0.147991246590463,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"49","1","c74ee364c5407757af0784df4a8b6a42","groupoff or low",-0.0469978985420239,0.256508934270524,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"50","1","a614564404c7ac0220529b93b64c1a6d","groupoff or low",0.531845165540432,0.431019055393414,1,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
"51","1","ed379dd15fc30f1e441368760ea56716","groupoff or low",-0.212263865302677,0.164871902656114,0,"bottom","Proteobacteria_Alphaproteobacteria_Rickettsiales_mitochondria_NA"
